,race_type,course_len,ground_state,class,winner_pops,place_pops
0,芝,1000,全,all,3.6,4.82
1,芝,1000,良,all,3.49,4.94
2,芝,1000,稍重,all,4.03,4.91
3,芝,1000,重,all,3.0,2.67
4,芝,1000,不良,all,,
5,芝,1000,全,未勝利,3.03,4.0
6,芝,1000,良,未勝利,1.06,3.17
7,芝,1000,稍重,未勝利,5.0,4.83
8,芝,1000,重,未勝利,,
9,芝,1000,不良,未勝利,,
10,芝,1000,全,新馬,,
11,芝,1000,良,新馬,,
12,芝,1000,稍重,新馬,,
13,芝,1000,重,新馬,,
14,芝,1000,不良,新馬,,
15,芝,1000,全,1勝クラス,3.96,4.42
16,芝,1000,良,1勝クラス,4.18,4.54
17,芝,1000,稍重,1勝クラス,2.4,3.6
18,芝,1000,重,1勝クラス,,
19,芝,1000,不良,1勝クラス,,
20,芝,1000,全,2勝クラス,4.25,5.65
21,芝,1000,良,2勝クラス,3.0,5.67
22,芝,1000,稍重,2勝クラス,6.75,5.62
23,芝,1000,重,2勝クラス,,
24,芝,1000,不良,2勝クラス,,
25,芝,1000,全,3勝クラス,2.62,3.4
26,芝,1000,良,3勝クラス,2.25,4.12
27,芝,1000,稍重,3勝クラス,,
28,芝,1000,重,3勝クラス,3.0,2.67
29,芝,1000,不良,3勝クラス,,
30,芝,1000,全,オープン,3.42,7.07
31,芝,1000,良,オープン,4.62,7.77
32,芝,1000,稍重,オープン,1.0,5.67
33,芝,1000,重,オープン,,
34,芝,1000,不良,オープン,,
35,芝,1200,全,all,4.69,5.24
36,芝,1200,良,all,4.72,5.43
37,芝,1200,稍重,all,4.56,4.31
38,芝,1200,重,all,,
39,芝,1200,不良,all,,
40,芝,1200,全,未勝利,5.66,4.7
41,芝,1200,良,未勝利,5.44,4.93
42,芝,1200,稍重,未勝利,7.0,3.33
43,芝,1200,重,未勝利,,
44,芝,1200,不良,未勝利,,
45,芝,1200,全,新馬,1.06,2.47
46,芝,1200,良,新馬,,
47,芝,1200,稍重,新馬,1.06,2.47
48,芝,1200,重,新馬,,
49,芝,1200,不良,新馬,,
50,芝,1200,全,1勝クラス,5.37,6.21
51,芝,1200,良,1勝クラス,5.32,6.03
52,芝,1200,稍重,1勝クラス,5.62,7.12
53,芝,1200,重,1勝クラス,,
54,芝,1200,不良,1勝クラス,,
55,芝,1200,全,2勝クラス,3.0,6.24
56,芝,1200,良,2勝クラス,3.0,6.24
57,芝,1200,稍重,2勝クラス,,
58,芝,1200,重,2勝クラス,,
59,芝,1200,不良,2勝クラス,,
60,芝,1200,全,3勝クラス,2.57,3.0
61,芝,1200,良,3勝クラス,2.57,3.0
62,芝,1200,稍重,3勝クラス,,
63,芝,1200,重,3勝クラス,,
64,芝,1200,不良,3勝クラス,,
65,芝,1200,全,オープン,,
66,芝,1200,良,オープン,,
67,芝,1200,稍重,オープン,,
68,芝,1200,重,オープン,,
69,芝,1200,不良,オープン,,
70,芝,1400,全,all,5.16,4.87
71,芝,1400,良,all,4.31,4.72
72,芝,1400,稍重,all,8.06,5.37
73,芝,1400,重,all,,
74,芝,1400,不良,all,,
75,芝,1400,全,未勝利,4.17,4.68
76,芝,1400,良,未勝利,4.53,4.57
77,芝,1400,稍重,未勝利,2.0,5.33
78,芝,1400,重,未勝利,,
79,芝,1400,不良,未勝利,,
80,芝,1400,全,新馬,5.56,5.35
81,芝,1400,良,新馬,2.42,5.14
82,芝,1400,稍重,新馬,15.0,6.0
83,芝,1400,重,新馬,,
84,芝,1400,不良,新馬,,
85,芝,1400,全,1勝クラス,4.55,4.38
86,芝,1400,良,1勝クラス,2.58,3.97
87,芝,1400,稍重,1勝クラス,7.5,5.0
88,芝,1400,重,1勝クラス,,
89,芝,1400,不良,1勝クラス,,
90,芝,1400,全,2勝クラス,5.44,5.34
91,芝,1400,良,2勝クラス,2.57,5.14
92,芝,1400,稍重,2勝クラス,8.31,5.54
93,芝,1400,重,2勝クラス,,
94,芝,1400,不良,2勝クラス,,
95,芝,1400,全,3勝クラス,12.0,5.67
96,芝,1400,良,3勝クラス,12.0,5.67
97,芝,1400,稍重,3勝クラス,,
98,芝,1400,重,3勝クラス,,
99,芝,1400,不良,3勝クラス,,
100,芝,1400,全,オープン,5.52,4.9
101,芝,1400,良,オープン,5.52,4.9
102,芝,1400,稍重,オープン,,
103,芝,1400,重,オープン,,
104,芝,1400,不良,オープン,,
105,芝,1600,全,all,3.4,5.13
106,芝,1600,良,all,3.57,5.06
107,芝,1600,稍重,all,2.62,5.45
108,芝,1600,重,all,,
109,芝,1600,不良,all,,
110,芝,1600,全,未勝利,3.21,4.54
111,芝,1600,良,未勝利,3.09,4.82
112,芝,1600,稍重,未勝利,3.7,3.4
113,芝,1600,重,未勝利,,
114,芝,1600,不良,未勝利,,
115,芝,1600,全,新馬,4.49,5.19
116,芝,1600,良,新馬,4.7,4.97
117,芝,1600,稍重,新馬,3.27,6.55
118,芝,1600,重,新馬,,
119,芝,1600,不良,新馬,,
120,芝,1600,全,1勝クラス,3.68,6.16
121,芝,1600,良,1勝クラス,4.32,5.83
122,芝,1600,稍重,1勝クラス,1.12,7.5
123,芝,1600,重,1勝クラス,,
124,芝,1600,不良,1勝クラス,,
125,芝,1600,全,2勝クラス,1.32,4.79
126,芝,1600,良,2勝クラス,1.32,4.79
127,芝,1600,稍重,2勝クラス,,
128,芝,1600,重,2勝クラス,,
129,芝,1600,不良,2勝クラス,,
130,芝,1600,全,3勝クラス,1.2,3.2
131,芝,1600,良,3勝クラス,1.2,3.2
132,芝,1600,稍重,3勝クラス,,
133,芝,1600,重,3勝クラス,,
134,芝,1600,不良,3勝クラス,,
135,芝,1600,全,オープン,3.16,6.14
136,芝,1600,良,オープン,4.09,6.0
137,芝,1600,稍重,オープン,1.29,6.43
138,芝,1600,重,オープン,,
139,芝,1600,不良,オープン,,
140,芝,1800,全,all,5.09,5.1
141,芝,1800,良,all,5.57,5.15
142,芝,1800,稍重,all,4.05,4.97
143,芝,1800,重,all,,
144,芝,1800,不良,all,,
145,芝,1800,全,未勝利,3.63,4.74
146,芝,1800,良,未勝利,3.83,4.48
147,芝,1800,稍重,未勝利,3.09,5.41
148,芝,1800,重,未勝利,,
149,芝,1800,不良,未勝利,,
150,芝,1800,全,新馬,3.09,4.81
151,芝,1800,良,新馬,3.04,5.17
152,芝,1800,稍重,新馬,3.18,4.08
153,芝,1800,重,新馬,,
154,芝,1800,不良,新馬,,
155,芝,1800,全,1勝クラス,7.94,5.21
156,芝,1800,良,1勝クラス,8.43,5.35
157,芝,1800,稍重,1勝クラス,6.8,4.87
158,芝,1800,重,1勝クラス,,
159,芝,1800,不良,1勝クラス,,
160,芝,1800,全,2勝クラス,3.78,5.12
161,芝,1800,良,2勝クラス,6.92,4.62
162,芝,1800,稍重,2勝クラス,2.2,5.37
163,芝,1800,重,2勝クラス,,
164,芝,1800,不良,2勝クラス,,
165,芝,1800,全,3勝クラス,10.8,10.8
166,芝,1800,良,3勝クラス,10.8,10.8
167,芝,1800,稍重,3勝クラス,,
168,芝,1800,重,3勝クラス,,
169,芝,1800,不良,3勝クラス,,
170,芝,1800,全,オープン,3.0,4.0
171,芝,1800,良,オープン,3.0,4.0
172,芝,1800,稍重,オープン,,
173,芝,1800,重,オープン,,
174,芝,1800,不良,オープン,,
175,芝,2000,全,all,4.13,5.54
176,芝,2000,良,all,4.45,5.55
177,芝,2000,稍重,all,2.62,5.5
178,芝,2000,重,all,,
179,芝,2000,不良,all,,
180,芝,2000,全,未勝利,3.95,5.19
181,芝,2000,良,未勝利,4.68,5.51
182,芝,2000,稍重,未勝利,2.0,4.33
183,芝,2000,重,未勝利,,
184,芝,2000,不良,未勝利,,
185,芝,2000,全,新馬,2.57,8.57
186,芝,2000,良,新馬,2.57,8.57
187,芝,2000,稍重,新馬,,
188,芝,2000,重,新馬,,
189,芝,2000,不良,新馬,,
190,芝,2000,全,1勝クラス,2.82,5.95
191,芝,2000,良,1勝クラス,2.4,5.18
192,芝,2000,稍重,1勝クラス,4.5,9.0
193,芝,2000,重,1勝クラス,,
194,芝,2000,不良,1勝クラス,,
195,芝,2000,全,2勝クラス,2.69,5.44
196,芝,2000,良,2勝クラス,2.69,5.44
197,芝,2000,稍重,2勝クラス,,
198,芝,2000,重,2勝クラス,,
199,芝,2000,不良,2勝クラス,,
200,芝,2000,全,3勝クラス,5.55,3.95
201,芝,2000,良,3勝クラス,5.55,3.95
202,芝,2000,稍重,3勝クラス,,
203,芝,2000,重,3勝クラス,,
204,芝,2000,不良,3勝クラス,,
205,芝,2000,全,オープン,9.2,6.67
206,芝,2000,良,オープン,9.2,6.67
207,芝,2000,稍重,オープン,,
208,芝,2000,重,オープン,,
209,芝,2000,不良,オープン,,
210,芝,2200,全,all,4.16,5.69
211,芝,2200,良,all,3.74,5.46
212,芝,2200,稍重,all,5.84,6.61
213,芝,2200,重,all,,
214,芝,2200,不良,all,,
215,芝,2200,全,未勝利,5.0,5.67
216,芝,2200,良,未勝利,5.0,5.67
217,芝,2200,稍重,未勝利,,
218,芝,2200,重,未勝利,,
219,芝,2200,不良,未勝利,,
220,芝,2200,全,新馬,,
221,芝,2200,良,新馬,,
222,芝,2200,稍重,新馬,,
223,芝,2200,重,新馬,,
224,芝,2200,不良,新馬,,
225,芝,2200,全,1勝クラス,3.23,5.17
226,芝,2200,良,1勝クラス,3.23,5.17
227,芝,2200,稍重,1勝クラス,,
228,芝,2200,重,1勝クラス,,
229,芝,2200,不良,1勝クラス,,
230,芝,2200,全,2勝クラス,2.0,6.0
231,芝,2200,良,2勝クラス,2.0,6.0
232,芝,2200,稍重,2勝クラス,,
233,芝,2200,重,2勝クラス,,
234,芝,2200,不良,2勝クラス,,
235,芝,2200,全,3勝クラス,1.38,5.08
236,芝,2200,良,3勝クラス,,
237,芝,2200,稍重,3勝クラス,1.38,5.08
238,芝,2200,重,3勝クラス,,
239,芝,2200,不良,3勝クラス,,
240,芝,2200,全,オープン,10.29,8.14
241,芝,2200,良,オープン,,
242,芝,2200,稍重,オープン,10.29,8.14
243,芝,2200,重,オープン,,
244,芝,2200,不良,オープン,,
245,芝,2400,全,all,4.63,5.38
246,芝,2400,良,all,4.9,6.59
247,芝,2400,稍重,all,4.21,3.57
248,芝,2400,重,all,,
249,芝,2400,不良,all,,
250,芝,2400,全,未勝利,4.21,3.57
251,芝,2400,良,未勝利,,
252,芝,2400,稍重,未勝利,4.21,3.57
253,芝,2400,重,未勝利,,
254,芝,2400,不良,未勝利,,
255,芝,2400,全,新馬,,
256,芝,2400,良,新馬,,
257,芝,2400,稍重,新馬,,
258,芝,2400,重,新馬,,
259,芝,2400,不良,新馬,,
260,芝,2400,全,1勝クラス,4.9,6.59
261,芝,2400,良,1勝クラス,4.9,6.59
262,芝,2400,稍重,1勝クラス,,
263,芝,2400,重,1勝クラス,,
264,芝,2400,不良,1勝クラス,,
265,芝,2400,全,2勝クラス,,
266,芝,2400,良,2勝クラス,,
267,芝,2400,稍重,2勝クラス,,
268,芝,2400,重,2勝クラス,,
269,芝,2400,不良,2勝クラス,,
270,芝,2400,全,3勝クラス,,
271,芝,2400,良,3勝クラス,,
272,芝,2400,稍重,3勝クラス,,
273,芝,2400,重,3勝クラス,,
274,芝,2400,不良,3勝クラス,,
275,芝,2400,全,オープン,,
276,芝,2400,良,オープン,,
277,芝,2400,稍重,オープン,,
278,芝,2400,重,オープン,,
279,芝,2400,不良,オープン,,
280,ダート,1200,全,all,3.28,5.22
281,ダート,1200,良,all,3.78,5.87
282,ダート,1200,稍重,all,2.68,4.42
283,ダート,1200,重,all,3.36,5.44
284,ダート,1200,不良,all,,
285,ダート,1200,全,未勝利,2.86,5.27
286,ダート,1200,良,未勝利,2.96,6.11
287,ダート,1200,稍重,未勝利,2.04,4.09
288,ダート,1200,重,未勝利,6.0,5.6
289,ダート,1200,不良,未勝利,,
290,ダート,1200,全,新馬,5.6,5.47
291,ダート,1200,良,新馬,7.8,6.4
292,ダート,1200,稍重,新馬,1.2,3.6
293,ダート,1200,重,新馬,,
294,ダート,1200,不良,新馬,,
295,ダート,1200,全,1勝クラス,3.08,5.04
296,ダート,1200,良,1勝クラス,3.33,5.78
297,ダート,1200,稍重,1勝クラス,2.99,4.41
298,ダート,1200,重,1勝クラス,1.2,4.0
299,ダート,1200,不良,1勝クラス,,
300,ダート,1200,全,2勝クラス,4.56,5.52
301,ダート,1200,良,2勝クラス,7.2,4.8
302,ダート,1200,稍重,2勝クラス,3.0,5.8
303,ダート,1200,重,2勝クラス,2.4,6.4
304,ダート,1200,不良,2勝クラス,,
305,ダート,1200,全,3勝クラス,2.4,5.4
306,ダート,1200,良,3勝クラス,3.6,5.2
307,ダート,1200,稍重,3勝クラス,,
308,ダート,1200,重,3勝クラス,1.2,5.6
309,ダート,1200,不良,3勝クラス,,
310,ダート,1200,全,オープン,6.0,5.6
311,ダート,1200,良,オープン,,
312,ダート,1200,稍重,オープン,6.0,5.6
313,ダート,1200,重,オープン,,
314,ダート,1200,不良,オープン,,
315,ダート,1800,全,all,4.53,5.82
316,ダート,1800,良,all,5.05,5.71
317,ダート,1800,稍重,all,4.37,6.13
318,ダート,1800,重,all,2.42,5.43
319,ダート,1800,不良,all,2.4,2.4
320,ダート,1800,全,未勝利,3.97,5.03
321,ダート,1800,良,未勝利,4.17,4.81
322,ダート,1800,稍重,未勝利,4.56,5.5
323,ダート,1800,重,未勝利,1.23,4.65
324,ダート,1800,不良,未勝利,2.4,2.4
325,ダート,1800,全,新馬,3.2,5.2
326,ダート,1800,良,新馬,4.8,8.0
327,ダート,1800,稍重,新馬,2.4,3.8
328,ダート,1800,重,新馬,,
329,ダート,1800,不良,新馬,,
330,ダート,1800,全,1勝クラス,5.43,6.77
331,ダート,1800,良,1勝クラス,5.54,6.11
332,ダート,1800,稍重,1勝クラス,5.09,7.36
333,ダート,1800,重,1勝クラス,7.2,10.8
334,ダート,1800,不良,1勝クラス,,
335,ダート,1800,全,2勝クラス,3.84,5.61
336,ダート,1800,良,2勝クラス,5.42,5.67
337,ダート,1800,稍重,2勝クラス,2.1,6.57
338,ダート,1800,重,2勝クラス,1.2,2.4
339,ダート,1800,不良,2勝クラス,,
340,ダート,1800,全,3勝クラス,3.6,6.4
341,ダート,1800,良,3勝クラス,2.4,9.2
342,ダート,1800,稍重,3勝クラス,4.8,3.6
343,ダート,1800,重,3勝クラス,,
344,ダート,1800,不良,3勝クラス,,
345,ダート,1800,全,オープン,6.6,6.0
346,ダート,1800,良,オープン,8.4,4.0
347,ダート,1800,稍重,オープン,4.8,8.0
348,ダート,1800,重,オープン,,
349,ダート,1800,不良,オープン,,
350,ダート,2500,全,all,4.91,4.36
351,ダート,2500,良,all,4.91,4.36
352,ダート,2500,稍重,all,,
353,ダート,2500,重,all,,
354,ダート,2500,不良,all,,
355,ダート,2500,全,未勝利,,
356,ダート,2500,良,未勝利,,
357,ダート,2500,稍重,未勝利,,
358,ダート,2500,重,未勝利,,
359,ダート,2500,不良,未勝利,,
360,ダート,2500,全,新馬,,
361,ダート,2500,良,新馬,,
362,ダート,2500,稍重,新馬,,
363,ダート,2500,重,新馬,,
364,ダート,2500,不良,新馬,,
365,ダート,2500,全,1勝クラス,4.91,4.36
366,ダート,2500,良,1勝クラス,4.91,4.36
367,ダート,2500,稍重,1勝クラス,,
368,ダート,2500,重,1勝クラス,,
369,ダート,2500,不良,1勝クラス,,
370,ダート,2500,全,2勝クラス,,
371,ダート,2500,良,2勝クラス,,
372,ダート,2500,稍重,2勝クラス,,
373,ダート,2500,重,2勝クラス,,
374,ダート,2500,不良,2勝クラス,,
375,ダート,2500,全,3勝クラス,,
376,ダート,2500,良,3勝クラス,,
377,ダート,2500,稍重,3勝クラス,,
378,ダート,2500,重,3勝クラス,,
379,ダート,2500,不良,3勝クラス,,
380,ダート,2500,全,オープン,,
381,ダート,2500,良,オープン,,
382,ダート,2500,稍重,オープン,,
383,ダート,2500,重,オープン,,
384,ダート,2500,不良,オープン,,
